,Apellido,Nombre,Distrito,IniciaMandato,FinalizaMandato,Bloque,INTERBLOQUE
104,Tailhade,Rodolfo,BUENOS AIRES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
105,Toniolli,Eduardo,SANTA FE,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
106,Uceda,Marisa Lourdes,MENDOZA,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
107,Valdes,Eduardo Félix,CIUDAD DE BUENOS AIRES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
108,Vargas Matyi,Brenda,BUENOS AIRES,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
109,Verón,Jorge Guillermo,SANTA CRUZ,11/02/2021,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
110,Vessvessian,Paola,SANTA CRUZ,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
111,Yambrún,Liliana Patricia,BUENOS AIRES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
112,Yapor,Lucio,BUENOS AIRES,26/10/2021,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
113,Yasky,Hugo,BUENOS AIRES,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
114,Yutrovic,Carolina,TIERRA DEL FUEGO,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
115,Zabala Chacur,Natalia,SAN LUIS,21/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
116,Zaracho,Natalia,BUENOS AIRES,16/12/2021,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
117,PENDIENTE DE INCORPORACION,DIPUTADO,JUJUY,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
118,Aguirre,Manuel Ignacio,CORRIENTES,10/12/2021,09/12/2025,UCR,JUNTOS POR EL CAMBIO
119,Arjol,Martín,MISIONES,10/12/2021,09/12/2025,UCR,JUNTOS POR EL CAMBIO
120,Ascarate,Lidia Inés,TUCUMAN,10/12/2019,09/12/2023,UCR,JUNTOS POR EL CAMBIO
121,Banfi,Karina,BUENOS AIRES,10/12/2019,09/12/2023,UCR,JUNTOS POR EL CAMBIO
122,Barletta,Mario,SANTA FE,10/12/2021,09/12/2025,UCR,JUNTOS POR EL CAMBIO
123,Bazze,Miguel Ángel,BUENOS AIRES,10/12/2019,09/12/2023,UCR,JUNTOS POR EL CAMBIO
124,Benedetti,Atilio,ENTRE RIOS,05/07/2023,09/12/2025,UCR,JUNTOS POR EL CAMBIO
125,Buryaile,Ricardo,FORMOSA,10/12/2019,09/12/2023,UCR,JUNTOS POR EL CAMBIO
126,Carasso,Marcos Gustavo,CORDOBA,16/12/2021,09/12/2023,UCR,JUNTOS POR EL CAMBIO
127,Carbajal,Fernando,FORMOSA,10/12/2021,09/12/2025,UCR,JUNTOS POR EL CAMBIO
128,Carrizo,Soledad,CORDOBA,10/12/2021,09/12/2025,UCR,JUNTOS POR EL CAMBIO
129,Cipolini,Gerardo,CHACO,10/12/2019,09/12/2023,UCR,JUNTOS POR EL CAMBIO
130,Cobos,Julio,MENDOZA,10/12/2021,09/12/2025,UCR,JUNTOS POR EL CAMBIO
131,Coli,Marcela,LA PAMPA,10/12/2021,09/12/2025,UCR,JUNTOS POR EL CAMBIO
132,Galimberti,Pedro Jorge,ENTRE RIOS,10/12/2021,09/12/2025,UCR,JUNTOS POR EL CAMBIO
133,García,Ximena,SANTA FE,10/12/2019,09/12/2023,UCR,JUNTOS POR EL CAMBIO
134,Latorre,Jimena,MENDOZA,10/12/2019,09/12/2023,UCR,JUNTOS POR EL CAMBIO
135,Lena,Gabriela,ENTRE RIOS,10/12/2019,09/12/2023,UCR,JUNTOS POR EL CAMBIO
136,Manes,Facundo,BUENOS AIRES,10/12/2021,09/12/2025,UCR,JUNTOS POR EL CAMBIO
137,Martín,Juan,SANTA FE,10/12/2019,09/12/2023,UCR,JUNTOS POR EL CAMBIO
138,Monti,Francisco,CATAMARCA,10/12/2021,09/12/2025,UCR,JUNTOS POR EL CAMBIO
139,Nanni,Miguel,SALTA,10/12/2019,09/12/2023,UCR,JUNTOS POR EL CAMBIO
140,Negri,Mario Raúl,CORDOBA,10/12/2019,09/12/2023,UCR,JUNTOS POR EL CAMBIO
