,Unnamed: 0,Apellido,Nombre,Distrito,IniciaMandato,FinalizaMandato,Bloque,INTERBLOQUE
125,125,Buryaile,Ricardo,FORMOSA,10/12/2019,09/12/2023,UCR,JUNTOS POR EL CAMBIO
126,126,Carasso,Marcos Gustavo,CORDOBA,16/12/2021,09/12/2023,UCR,JUNTOS POR EL CAMBIO
129,129,Cipolini,Gerardo,CHACO,10/12/2019,09/12/2023,UCR,JUNTOS POR EL CAMBIO
133,133,García,Ximena,SANTA FE,10/12/2019,09/12/2023,UCR,JUNTOS POR EL CAMBIO
134,134,Latorre,Jimena,MENDOZA,10/12/2019,09/12/2023,UCR,JUNTOS POR EL CAMBIO
135,135,Lena,Gabriela,ENTRE RIOS,10/12/2019,09/12/2023,UCR,JUNTOS POR EL CAMBIO
137,137,Martín,Juan,SANTA FE,10/12/2019,09/12/2023,UCR,JUNTOS POR EL CAMBIO
139,139,Nanni,Miguel,SALTA,10/12/2019,09/12/2023,UCR,JUNTOS POR EL CAMBIO
140,140,Negri,Mario Raúl,CORDOBA,10/12/2019,09/12/2023,UCR,JUNTOS POR EL CAMBIO
141,141,Nieri,Lisandro,MENDOZA,16/12/2021,09/12/2023,UCR,JUNTOS POR EL CAMBIO
145,145,Rizzotti,Jorge,JUJUY,10/12/2019,09/12/2023,UCR,JUNTOS POR EL CAMBIO
146,146,Romero,Victor Hugo,CORDOBA,10/12/2019,09/12/2023,UCR,JUNTOS POR EL CAMBIO
147,147,Salvador,Sebastián Nicolás,BUENOS AIRES,10/12/2019,09/12/2023,UCR,JUNTOS POR EL CAMBIO
150,150,Vara,Jorge,CORRIENTES,10/12/2019,09/12/2023,UCR,JUNTOS POR EL CAMBIO
153,153,Angelini,Federico,SANTA FE,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
154,154,Asseff,Alberto,BUENOS AIRES,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
160,160,Cornejo,Virginia,SALTA,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
161,161,Crescimbeni,Camila,BUENOS AIRES,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
162,162,De Marchi,Omar,MENDOZA,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
163,163,El Sukaria,Soher,CORDOBA,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
166,166,Frigerio,Federico,TIERRA DEL FUEGO,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
167,167,González,Álvaro Gustavo,CIUDAD DE BUENOS AIRES,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
168,168,Hein,Gustavo René,ENTRE RIOS,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
170,170,Jetter,Ingrid,CORRIENTES,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
171,171,Joury,María de las Mercedes,BUENOS AIRES,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
175,175,Lospennato,Silvia Gabriela,BUENOS AIRES,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
179,179,Morales Gorleri,Victoria,CIUDAD DE BUENOS AIRES,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
180,180,Nuñez,José Carlos,SANTA FE,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
183,183,Rey,María Luján,BUENOS AIRES,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
184,184,Rezinovsky,Dina,CIUDAD DE BUENOS AIRES,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
185,185,Ritondo,Cristian Adrián,BUENOS AIRES,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
188,188,Ruarte,Adriana Noemí,CORDOBA,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
189,189,Sanchez,Francisco,NEUQUEN,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
192,192,Schiavoni,Alfredo Oscar,MISIONES,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
195,195,Taccetta,Matias,CHUBUT,16/12/2021,09/12/2023,PRO,JUNTOS POR EL CAMBIO
196,196,Tonelli,Pablo Gabriel,CIUDAD DE BUENOS AIRES,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
197,197,Torello,Pablo,BUENOS AIRES,10/12/2019,09/12/2023,PRO,JUNTOS POR EL CAMBIO
200,200,Álvarez,Felipe,LA RIOJA,10/12/2019,09/12/2023,SER - SOMOS ENERGIA PARA RENOVAR,SER - SOMOS ENERGÍA PARA RENOVAR
202,202,Amaya,Domingo Luis,TUCUMAN,10/12/2019,09/12/2023,ENCUENTRO FEDERAL,JUNTOS POR EL CAMBIO
203,203,García De Luca,Sebastián,BUENOS AIRES,10/12/2019,09/12/2023,ENCUENTRO FEDERAL,JUNTOS POR EL CAMBIO
207,207,Berhongaray,Martín Antonio,LA PAMPA,10/12/2019,09/12/2023,EVOLUCION RADICAL,JUNTOS POR EL CAMBIO
209,209,Cacace,Alejandro,SAN LUIS,10/12/2019,09/12/2023,EVOLUCION RADICAL,JUNTOS POR EL CAMBIO
213,213,Martínez,Dolores,CIUDAD DE BUENOS AIRES,10/12/2019,09/12/2023,EVOLUCION RADICAL,JUNTOS POR EL CAMBIO
217,217,Yacobitti,Emiliano Benjamín,CIUDAD DE BUENOS AIRES,10/12/2019,09/12/2023,EVOLUCION RADICAL,JUNTOS POR EL CAMBIO
220,220,Espil,Santiago Eugenio,BUENOS AIRES,05/07/2023,09/12/2023,COALICIÓN CÍVICA,JUNTOS POR EL CAMBIO
221,221,Ferraro,Maximiliano,CIUDAD DE BUENOS AIRES,10/12/2019,09/12/2023,COALICIÓN CÍVICA,JUNTOS POR EL CAMBIO
222,222,Frade,Mónica Edith,BUENOS AIRES,10/12/2019,09/12/2023,COALICIÓN CÍVICA,JUNTOS POR EL CAMBIO
224,224,Manzi,Rubén,CATAMARCA,10/12/2019,09/12/2023,COALICIÓN CÍVICA,JUNTOS POR EL CAMBIO
225,225,Martínez Villada,Leonor María,CORDOBA,10/12/2019,09/12/2023,COALICIÓN CÍVICA,JUNTOS POR EL CAMBIO
